# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
0.01,0.002,0.339,33.95
0.02,0.008,0.946,60.684
0.03,0.021,1.539,59.291
0.04,0.039,2.118,57.897
0.05,0.063,2.684,56.608
0.06,0.093,3.25,56.614
0.07,0.128,3.82,57.009
0.08,0.169,4.394,57.403
0.09,0.216,4.972,57.798
0.1,0.268,5.553,58.193
0.11,0.327,6.139,58.588
0.12,0.391,6.729,58.982
0.13,0.461,7.323,59.377
0.14,0.538,7.92,59.772
0.15,0.62,8.522,60.168
0.16,0.708,9.127,60.563
0.17,0.802,9.737,60.959
0.18,0.903,10.35,61.354
0.19,1.009,10.968,61.75
0.2,1.122,11.589,62.146
0.21,1.241,12.214,62.542
0.22,1.367,12.844,62.937
0.23,1.498,13.477,63.334
0.24,1.636,14.114,63.73
0.25,1.78,14.755,64.126
0.26,1.931,15.4,64.523
0.27,2.088,16.049,64.919
0.28,2.252,16.702,65.316
0.29,2.423,17.359,65.713
0.3,2.599,18.02,66.11
0.31,2.783,18.685,66.507
0.32,2.973,19.354,66.904
0.33,3.17,20.027,67.302
0.34,3.374,20.704,67.699
0.35,3.584,21.385,68.096
0.36,3.801,22.07,68.494
0.375,4.14,23.103,68.934
0.398,4.678,24.67,69.689
0.431,5.551,27.058,70.819
0.481,6.994,30.678,72.494
0.531,8.62,34.368,73.84
0.581,10.431,38.067,74.033
0.631,12.427,41.775,74.184
0.681,14.609,45.49,74.313
0.731,16.976,49.21,74.417
0.781,19.53,52.935,74.491
0.831,22.27,56.663,74.532
0.881,25.196,60.392,74.538
0.931,28.309,64.121,74.506
0.981,31.608,67.847,74.438
1.031,35.094,71.568,74.34
1.081,38.765,75.285,74.222
1.131,42.622,78.995,74.095
1.181,46.664,82.699,73.979
1.231,50.892,86.398,73.899
1.281,55.304,90.095,73.879
1.331,59.901,93.792,73.942
1.381,64.684,97.495,74.098
1.431,69.651,101.208,74.341
1.481,74.805,104.935,74.651
1.531,80.145,108.679,74.994
1.581,85.673,112.44,75.332
1.631,91.389,116.217,75.635
1.681,97.295,120.007,75.87
1.731,103.39,123.807,76.01
1.781,109.676,127.612,76.038
1.831,116.099,131.384,75.947
1.881,122.763,135.179,75.736
1.931,129.616,138.961,75.432
1.981,136.659,142.726,75.083
2.031,143.889,146.471,74.706
2.081,151.305,150.192,74.291
2.125,158.026,153.472,74.056
2.171,165.126,156.856,73.973
2.221,173.061,160.552,73.994
2.271,181.181,164.25,74.02
2.321,189.486,167.947,73.96
2.371,197.976,171.638,73.734
2.413,205.247,174.751,73.982
2.459,213.48,178.384,77.704
2.509,222.471,181.248,56.202
2.559,231.516,180.514,-14.729
2.6,238.815,179.798,-17.66
2.646,246.993,178.935,-18.851
2.692,255.366,178.056,-18.622
2.742,264.245,177.133,-18.32
2.792,273.079,176.224,-18.038
2.842,281.868,175.328,-17.827
2.892,290.612,174.44,-17.715
2.942,299.312,173.555,-17.697
2.992,307.968,172.67,-17.739
3.042,316.579,171.781,-17.793
3.092,325.146,170.89,-17.805
3.142,333.668,170.002,-17.727
3.192,342.146,169.119,-17.556
3.242,350.58,168.247,-17.33
3.292,358.971,167.386,-17.102
3.342,367.319,166.536,-16.912
3.392,375.625,165.694,-16.786
3.442,383.888,164.857,-16.729
3.492,392.11,164.021,-16.727
3.542,400.29,163.183,-16.753
3.592,408.429,162.345,-16.773
3.642,416.525,161.507,-16.751
3.692,424.579,160.671,-16.666
3.742,432.592,159.841,-16.522
3.792,440.564,159.019,-16.345
3.842,448.494,158.206,-16.169
3.892,456.384,157.402,-16.019
3.942,464.234,156.604,-15.912
3.992,472.045,155.81,-15.853
4.042,479.816,155.018,-15.834
4.092,487.547,154.226,-15.839
4.142,495.238,153.434,-15.845
4.192,502.89,152.642,-15.832
4.242,510.502,151.851,-15.78
4.292,518.075,151.065,-15.685
4.342,525.609,150.283,-15.558
4.392,533.104,149.509,-15.418
4.442,540.56,148.742,-15.284
4.492,547.978,147.98,-15.172
4.542,555.358,147.224,-15.09
4.592,562.7,146.471,-15.042
4.642,570.005,145.719,-15.02
4.692,577.272,144.969,-15.015
4.742,584.502,144.218,-15.01
4.792,591.694,143.468,-14.994
4.842,598.849,142.719,-14.953
4.892,605.966,141.973,-14.884
4.942,613.046,141.231,-14.79
4.992,620.089,140.494,-14.682
5.042,627.096,139.763,-14.573
5.092,634.066,139.037,-14.474
5.142,640.999,138.315,-14.393
5.192,647.897,137.597,-14.333
5.242,654.759,136.881,-14.295
5.292,661.585,136.167,-14.274
5.342,668.376,135.454,-14.262
5.392,675.131,134.741,-14.25
5.442,681.85,134.029,-14.23
5.492,688.534,133.318,-14.194
5.542,695.182,132.61,-14.139
5.592,701.795,131.905,-14.067
5.642,708.372,131.203,-13.985
5.692,714.915,130.506,-13.898
5.742,721.423,129.813,-13.815
5.792,727.896,129.125,-13.742
5.842,734.336,128.439,-13.682
5.892,740.74,127.756,-13.638
5.942,747.111,127.075,-13.607
5.992,753.448,126.395,-13.587
6.042,759.751,125.716,-13.571
6.092,766.02,125.038,-13.556
6.142,772.255,124.361,-13.534
6.192,778.456,123.685,-13.503
6.242,784.623,123.011,-13.459
