# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.002,0,0.009,27.206
0.004,0,0.123,86.501
0.006,0.001,0.355,145.8
0.008,0.001,0.658,198.104
0.01,0.003,1.054,197.207
0.012,0.006,1.447,196.309
0.014,0.009,1.839,195.411
0.016,0.013,2.229,194.513
0.018,0.018,2.617,193.615
0.02,0.023,3.003,192.716
0.022,0.03,3.388,191.818
0.024,0.037,3.771,190.919
0.026,0.045,4.152,190.02
0.028,0.054,4.531,189.121
0.03,0.063,4.908,188.222
# Event LIFTOFF occurred at t=0.032 seconds
0.032,0.073,5.284,187.562
0.034,0.084,5.658,186.662
0.036,0.096,6.03,185.763
0.038,0.108,6.401,184.863
0.04,0.122,6.77,183.963
0.042,0.135,7.137,183.063
0.044,0.15,7.502,182.162
0.046,0.165,7.865,181.262
0.047,0.173,8.046,180.916
0.048,0.186,8.318,181.106
0.05,0.203,8.68,181.361
0.052,0.22,9.043,181.615
0.054,0.239,9.407,181.869
0.056,0.258,9.771,182.124
0.058,0.278,10.135,182.378
0.06,0.299,10.5,182.632
0.062,0.32,10.866,182.887
0.064,0.342,11.232,183.141
0.066,0.365,11.598,183.396
0.068,0.388,11.965,183.65
0.07,0.413,12.333,183.904
0.072,0.438,12.701,184.159
0.074,0.463,13.07,184.413
0.076,0.49,13.439,184.668
0.078,0.517,13.808,184.922
0.08,0.545,14.178,185.177
0.082,0.574,14.549,185.431
0.084,0.603,14.92,185.686
0.086,0.634,15.292,185.94
0.088,0.665,15.664,186.195
0.09,0.696,16.037,186.449
0.092,0.729,16.41,186.704
0.094,0.762,16.783,186.959
0.096,0.796,17.158,187.213
0.098,0.831,17.532,187.468
0.1,0.866,17.907,187.723
0.102,0.902,18.283,187.977
0.104,0.939,18.659,188.232
0.106,0.977,19.036,188.487
0.108,1.015,19.413,188.742
0.11,1.054,19.791,188.996
0.112,1.094,20.169,189.251
0.114,1.135,20.548,189.506
0.116,1.177,20.927,189.761
0.118,1.219,21.307,190.016
0.12,1.262,21.687,190.271
0.122,1.306,22.068,190.525
0.124,1.35,22.449,190.78
0.126,1.395,22.831,191.035
0.128,1.441,23.214,191.29
0.13,1.488,23.596,191.545
0.132,1.536,23.98,191.8
0.134,1.584,24.364,192.055
0.136,1.633,24.748,192.31
0.138,1.683,25.133,192.565
0.14,1.734,25.518,192.821
0.142,1.785,25.904,193.076
0.144,1.837,26.291,193.331
0.146,1.89,26.677,193.586
0.148,1.944,27.065,193.841
0.15,1.999,27.453,194.097
0.152,2.054,27.841,194.352
0.154,2.11,28.23,194.607
0.156,2.167,28.62,194.862
0.158,2.225,29.01,195.118
0.16,2.283,29.4,195.373
0.162,2.342,29.791,195.629
0.164,2.402,30.183,195.884
0.166,2.463,30.575,196.139
0.168,2.524,30.967,196.395
0.17,2.587,31.36,196.65
0.172,2.65,31.754,196.906
0.174,2.714,32.148,197.161
0.176,2.778,32.543,197.417
0.178,2.844,32.938,197.673
0.18,2.91,33.333,197.928
0.182,2.977,33.729,198.184
0.184,3.045,34.126,198.439
0.186,3.114,34.523,198.695
0.188,3.183,34.921,198.951
0.19,3.253,35.319,199.206
0.192,3.324,35.718,199.462
0.194,3.396,36.117,199.718
0.196,3.469,36.516,199.974
0.198,3.542,36.917,200.229
0.2,3.617,37.317,200.485
0.202,3.692,37.719,200.741
0.204,3.767,38.12,200.997
0.206,3.844,38.523,201.253
0.208,3.922,38.925,201.508
0.21,4,39.329,201.764
0.212,4.079,39.732,202.02
0.214,4.159,40.137,202.276
0.216,4.239,40.541,202.531
0.218,4.321,40.947,202.787
0.22,4.403,41.353,203.043
0.222,4.486,41.759,203.299
0.224,4.57,42.166,203.555
0.226,4.655,42.573,203.811
0.228,4.741,42.981,204.066
0.23,4.827,43.389,204.322
0.232,4.914,43.798,204.578
0.234,5.002,44.208,204.834
0.236,5.091,44.618,205.09
0.238,5.181,45.028,205.346
0.24,5.271,45.439,205.602
0.242,5.362,45.851,205.858
0.244,5.454,46.262,206.114
0.246,5.547,46.675,206.37
0.248,5.641,47.088,206.626
0.25,5.736,47.501,206.882
0.252,5.831,47.916,207.138
0.254,5.927,48.33,207.394
0.256,6.024,48.745,207.65
0.258,6.122,49.161,207.906
0.26,6.221,49.577,208.162
0.262,6.321,49.993,208.418
0.264,6.421,50.41,208.674
0.266,6.522,50.828,208.93
0.268,6.624,51.246,209.187
0.27,6.727,51.665,209.443
0.272,6.831,52.084,209.699
0.274,6.936,52.504,209.955
0.276,7.041,52.924,210.211
0.278,7.147,53.344,210.467
0.28,7.254,53.766,210.724
0.282,7.362,54.187,210.98
0.284,7.471,54.609,211.236
0.286,7.581,55.032,211.492
0.288,7.691,55.455,211.748
0.29,7.803,55.879,212.005
0.292,7.915,56.303,212.261
0.294,8.028,56.728,212.517
0.296,8.142,57.154,212.773
0.298,8.257,57.579,213.03
0.3,8.372,58.006,213.286
0.302,8.489,58.432,213.542
0.304,8.606,58.86,213.799
0.306,8.724,59.288,214.055
0.308,8.843,59.716,214.311
0.31,8.963,60.145,214.568
0.312,9.084,60.574,214.824
0.314,9.205,61.004,215.08
0.316,9.328,61.435,215.337
0.318,9.451,61.866,215.593
0.32,9.575,62.297,215.85
0.322,9.7,62.729,216.106
0.324,9.826,63.161,216.362
0.326,9.953,63.594,216.619
0.328,10.08,64.028,216.875
0.33,10.209,64.462,217.132
0.332,10.338,64.896,217.388
0.334,10.468,65.331,217.645
0.336,10.6,65.767,217.901
0.338,10.731,66.203,218.158
0.34,10.864,66.64,218.414
0.342,10.998,67.077,218.671
0.344,11.133,67.514,218.927
0.346,11.268,67.952,219.184
0.348,11.404,68.391,219.44
0.35,11.542,68.83,219.697
0.352,11.68,69.27,219.953
0.354,11.819,69.71,220.21
# Event LAUNCHROD occurred at t=0.356 seconds
0.356,11.959,70.151,220.297
0.359,12.17,70.812,220.682
0.364,12.491,71.807,221.26
0.371,12.981,73.303,222.127
0.381,13.725,75.531,223.411
0.391,14.491,77.771,224.695
0.401,15.28,80.025,225.979
0.411,16.092,82.291,227.263
0.421,16.926,84.57,228.546
0.431,17.783,86.862,229.829
0.441,18.663,89.166,231.111
0.451,19.567,91.484,232.393
0.461,20.493,93.814,233.675
