Time,Altitude,Temp,Voltage
0,-2,65.0F,8.5
0.05,-8,65.0F,8.5
0.1,5,65.0F,8.5
0.15,0,65.0F,8.5
0.2,2,65.0F,8.5
0.25,5,65.0F,8.5
0.3,-2,65.0F,8.5
0.35,9,65.0F,8.5
0.4,14,65.0F,8.5
0.45,18,65.0F,8.5
0.5,18,65.0F,8.5
0.55,25,65.0F,8.5
0.6,30,65.0F,8.5
0.65,34,65.0F,8.5
0.7,41,65.0F,8.5
0.75,47,65.0F,8.5
0.8,52,65.0F,8.5
0.85,59,65.0F,8.5
0.9,66,65.0F,8.5
0.95,73,65.0F,8.5
1,79,65.0F,8.5
1.05,90,65.0F,8.5
1.1,101,65.0F,8.5
1.15,111,65.0F,8.5
1.2,122,65.0F,8.5
1.25,131,65.0F,8.5
1.3,143,65.0F,8.5
1.35,155,65.0F,8.5
1.4,167,65.0F,8.5
1.45,178,65.0F,8.5
1.5,194,65.0F,8.5
1.55,210,65.0F,8.5
1.6,224,65.0F,8.5
1.65,237,65.0F,8.5
1.7,250,65.0F,8.5
1.75,267,65.0F,8.5
1.8,281,65.0F,8.5
1.85,298,65.0F,8.5
1.9,317,65.0F,8.5
1.95,336,65.0F,8.5
2,354,65.0F,8.5
2.05,377,65.0F,8.5
2.1,396,65.0F,8.5
2.15,415,65.0F,8.5
2.2,438,65.0F,8.5
2.25,457,65.0F,8.5
2.3,473,65.0F,8.5
2.35,498,65.0F,8.5
2.4,524,65.0F,8.5
2.45,546,65.0F,8.5
2.5,572,65.0F,8.5
2.55,592,65.0F,8.5
2.6,617,65.0F,8.5
2.65,642,65.0F,8.5
2.7,666,65.0F,8.5
2.75,692,65.0F,8.5
2.8,717,65.0F,8.5
2.85,746,65.0F,8.5
2.9,778,65.0F,8.5
2.95,810,65.0F,8.5
3,840,65.0F,8.5
3.05,873,65.0F,8.5
3.1,901,65.0F,8.5
3.15,932,65.0F,8.5
3.2,961,65.0F,8.5
3.25,993,65.0F,8.5
3.3,1025,65.0F,8.5
3.35,1059,65.0F,8.5
3.4,1090,65.0F,8.5
3.45,1123,65.0F,8.5
3.5,1153,65.0F,8.5
3.55,1182,65.0F,8.5
3.6,1212,65.0F,8.5
3.65,1243,65.0F,8.5
3.7,1272,65.0F,8.5
3.75,1299,65.0F,8.5
3.8,1330,65.0F,8.5
3.85,1360,65.0F,8.5
3.9,1387,65.0F,8.5
3.95,1415,65.0F,8.5
4,1441,65.0F,8.5
4.05,1473,65.0F,8.5
4.1,1501,65.0F,8.5
