# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
0.01,0.002,0.34,34.026
0.02,0.008,0.948,60.83
0.03,0.021,1.543,59.434
0.04,0.039,2.123,58.036
0.05,0.063,2.69,56.743
0.06,0.093,3.258,56.75
0.07,0.128,3.829,57.146
0.08,0.169,4.404,57.541
0.09,0.216,4.984,57.937
0.1,0.269,5.567,58.333
0.11,0.328,6.154,58.729
0.12,0.392,6.745,59.126
0.13,0.463,7.34,59.522
0.14,0.539,7.939,59.919
0.15,0.621,8.542,60.316
0.16,0.71,9.149,60.713
0.17,0.804,9.76,61.11
0.18,0.905,10.375,61.508
0.19,1.012,10.994,61.905
0.2,1.125,11.617,62.303
0.21,1.244,12.244,62.701
0.22,1.37,12.875,63.099
0.23,1.502,13.51,63.496
0.24,1.64,14.149,63.894
0.25,1.785,14.791,64.292
0.26,1.936,15.438,64.691
0.27,2.094,16.089,65.089
0.28,2.258,16.744,65.487
0.29,2.428,17.402,65.886
0.3,2.606,18.065,66.284
0.31,2.79,18.732,66.683
0.32,2.98,19.403,67.082
0.33,3.178,20.077,67.48
0.34,3.382,20.756,67.879
0.35,3.593,21.439,68.278
0.36,3.811,22.125,68.677
0.375,4.15,23.162,69.131
0.398,4.689,24.733,69.887
0.431,5.564,27.128,71.021
0.481,7.011,30.758,72.705
0.531,8.642,34.459,74.065
0.581,10.458,38.17,74.274
0.631,12.459,41.89,74.448
0.681,14.647,45.619,74.61
0.731,17.021,49.356,74.757
0.781,19.582,53.099,74.889
0.831,22.331,56.849,75.003
0.881,25.267,60.603,75.098
0.931,28.392,64.363,75.175
0.981,31.704,68.125,75.233
1.031,35.204,71.89,75.275
1.081,38.893,75.657,75.31
1.131,42.77,79.426,75.339
1.181,46.836,83.196,75.368
1.231,51.09,86.968,75.408
1.281,55.532,90.742,75.467
1.331,60.164,94.52,75.556
1.381,64.984,98.303,75.678
1.431,69.994,102.093,75.831
1.481,75.194,105.891,76.009
1.531,80.584,109.699,76.198
1.581,86.164,113.516,76.382
1.631,91.935,117.342,76.548
1.681,97.898,121.175,76.679
1.731,104.053,125.014,76.766
1.781,110.4,128.856,76.799
1.831,116.939,132.698,76.775
1.881,123.67,136.537,76.693
1.931,130.592,140.371,76.564
1.981,137.707,144.198,76.409
2.031,145.012,148.014,76.202
2.081,152.508,151.813,75.879
2.131,160.193,155.597,75.614
2.181,168.067,159.369,75.416
2.231,176.13,163.133,75.255
2.281,184.38,166.889,75.086
2.331,192.818,170.635,74.866
2.381,201.444,174.368,74.563
2.431,210.257,178.171,75.92
2.481,219.267,182.222,80.814
2.531,228.398,183.001,15.486
2.581,237.528,182.201,-15.984
2.6,240.941,181.859,-18.208
2.628,246.048,181.33,-18.762
2.67,253.681,180.541,-18.637
2.72,262.685,179.614,-18.452
2.77,271.643,178.696,-18.259
2.82,280.555,177.788,-18.088
2.87,289.422,176.887,-17.955
2.92,298.244,175.992,-17.867
2.97,307.021,175.1,-17.813
3.02,315.754,174.21,-17.778
3.07,324.442,173.322,-17.737
3.12,333.086,172.437,-17.668
3.17,341.686,171.556,-17.559
3.22,350.242,170.681,-17.417
3.27,358.754,169.814,-17.262
3.32,367.223,168.955,-17.115
3.37,375.65,168.103,-16.992
3.42,384.034,167.255,-16.898
3.47,392.375,166.412,-16.834
3.52,400.675,165.572,-16.79
3.57,408.932,164.733,-16.752
3.62,417.148,163.897,-16.705
3.67,425.322,163.063,-16.636
3.72,433.454,162.233,-16.541
3.77,441.546,161.409,-16.424
3.82,449.595,160.591,-16.3
3.87,457.605,159.779,-16.181
3.92,465.573,158.973,-16.078
3.97,473.502,158.171,-15.995
4.02,481.391,157.373,-15.933
4.07,489.239,156.577,-15.887
4.12,497.048,155.784,-15.848
4.17,504.818,154.993,-15.807
4.22,512.548,154.203,-15.754
4.27,520.238,153.417,-15.684
4.32,527.89,152.635,-15.597
4.37,535.502,151.858,-15.499
4.42,543.075,151.086,-15.399
4.47,550.61,150.318,-15.304
4.52,558.107,149.555,-15.222
4.57,565.566,148.796,-15.154
4.62,572.987,148.039,-15.1
4.67,580.37,147.285,-15.057
4.72,587.715,146.534,-15.019
4.77,595.023,145.784,-14.981
4.82,602.294,145.036,-14.936
4.87,609.527,144.29,-14.879
4.92,616.723,143.548,-14.812
4.97,623.882,142.809,-14.735
5.02,631.004,142.074,-14.654
5.07,638.089,141.344,-14.574
5.12,645.138,140.617,-14.499
5.17,652.151,139.894,-14.434
5.22,659.128,139.173,-14.379
5.27,666.068,138.456,-14.333
5.32,672.973,137.74,-14.294
5.37,679.843,137.026,-14.258
5.42,686.676,136.314,-14.222
5.47,693.474,135.604,-14.182
5.52,700.236,134.896,-14.135
5.57,706.964,134.191,-14.08
5.62,713.656,133.488,-14.019
5.67,720.312,132.789,-13.954
5.72,726.934,132.093,-13.888
5.77,733.522,131.4,-13.825
5.82,740.075,130.71,-13.766
5.87,746.593,130.023,-13.714
5.92,753.077,129.339,-13.669
5.97,759.527,128.656,-13.629
6.02,765.943,127.976,-13.595
6.07,772.324,127.297,-13.562
6.12,778.672,126.619,-13.529
6.17,784.986,125.944,-13.494
6.22,791.267,125.27,-13.455
6.27,797.513,124.598,-13.411
6.32,803.727,123.929,-13.362
6.37,809.906,123.262,-13.31
6.42,816.053,122.598,-13.256
6.47,822.166,121.937,-13.203
6.52,828.247,121.278,-13.152
6.57,834.294,120.621,-13.105
6.62,840.309,119.967,-13.062
6.67,846.291,119.315,-13.024
6.72,852.24,118.665,-12.99
6.77,858.157,118.016,-12.958
6.82,864.042,117.369,-12.929
6.87,869.894,116.723,-12.9
6.92,875.714,116.079,-12.869
6.97,881.502,115.436,-12.837
7.02,887.258,114.795,-12.802
