mach,cD
0.007,0.576
0.007,0.567
0.008,0.556
0.01,0.544
0.011,0.533
0.012,0.523
0.014,0.514
0.015,0.506
0.017,0.499
0.018,0.492
0.02,0.486
0.022,0.481
0.023,0.476
0.025,0.471
0.027,0.467
0.029,0.463
0.03,0.459
0.032,0.456
0.034,0.452
0.036,0.45
0.038,0.45
0.04,0.45
0.041,0.45
0.043,0.45
0.045,0.45
0.047,0.45
0.049,0.45
0.051,0.45
0.053,0.45
0.055,0.45
0.057,0.45
0.059,0.45
0.061,0.45
0.063,0.451
0.065,0.451
0.067,0.451
0.07,0.451
0.075,0.451
0.082,0.451
0.093,0.452
0.104,0.452
0.115,0.453
0.126,0.453
0.137,0.454
0.148,0.455
0.16,0.456
0.171,0.457
0.182,0.458
0.193,0.459
0.205,0.46
0.216,0.461
0.227,0.463
0.239,0.464
0.25,0.465
0.262,0.467
0.273,0.469
0.285,0.471
0.296,0.472
0.308,0.474
0.319,0.477
0.331,0.479
0.342,0.481
0.354,0.484
0.366,0.486
0.377,0.489
0.389,0.492
0.4,0.494
0.412,0.498
0.424,0.501
0.435,0.504
0.447,0.507
0.458,0.511
0.47,0.515
0.482,0.519
0.493,0.523
0.504,0.527
0.516,0.531
0.527,0.536
0.539,0.54
0.551,0.545
0.554,0.546
0.6,0.57
