# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²)
0.01,0.006,1.13,113.001
0.02,0.027,3.146,201.7
0.03,0.068,5.117,197.08
0.04,0.129,7.041,192.457
0.05,0.209,8.923,188.178
0.06,0.308,10.804,188.202
0.07,0.425,12.699,189.512
0.08,0.562,14.607,190.822
0.09,0.717,16.528,192.132
0.1,0.892,18.462,193.442
0.11,1.087,20.409,194.753
0.12,1.3,22.369,196.064
0.13,1.534,24.343,197.376
0.14,1.787,26.329,198.688
0.15,2.061,28.329,200
0.16,2.354,30.342,201.313
0.17,2.668,32.367,202.627
0.18,3.001,34.407,203.941
0.19,3.356,36.459,205.255
0.2,3.731,38.524,206.569
0.21,4.126,40.603,207.883
0.22,4.543,42.694,209.198
0.23,4.98,44.799,210.514
0.24,5.439,46.917,211.83
0.25,5.919,49.048,213.146
0.26,6.42,51.192,214.463
0.27,6.943,53.35,215.78
0.28,7.487,55.52,217.098
0.29,8.053,57.704,218.416
0.3,8.641,59.901,219.735
0.31,9.251,62.111,221.054
0.32,9.883,64.335,222.373
0.33,10.538,66.571,223.692
0.34,11.215,68.821,225.012
0.35,11.914,71.084,226.332
0.36,12.637,73.36,227.652
0.375,13.763,76.795,229.108
0.398,15.549,82.003,231.615
0.431,18.451,89.939,235.365
0.481,23.248,101.969,240.92
0.531,28.653,114.23,245.382
0.581,34.672,126.524,246.009
0.631,41.306,138.845,246.491
0.681,48.557,151.187,246.892
0.731,56.425,163.547,247.199
0.781,64.912,175.92,247.397
0.831,74.017,188.299,247.477
0.881,83.742,200.68,247.428
0.931,94.085,213.055,247.252
0.981,105.047,225.418,246.959
1.031,116.627,237.763,246.568
1.081,128.823,250.089,246.138
1.131,141.635,262.393,245.722
1.181,155.062,274.678,245.399
1.231,169.103,286.951,245.262
1.281,183.758,299.224,245.395
1.331,199.026,311.511,245.85
1.381,214.909,323.83,246.627
1.431,231.41,336.195,247.664
1.481,248.53,348.615,248.847
1.531,266.273,361.096,250.038
1.581,284.641,373.635,251.129
1.631,303.637,386.223,252.001
1.681,323.264,398.847,252.555
1.728,342.186,410.667,252.739
1.773,360.83,421.989,252.565
1.823,382.245,434.611,251.952
1.873,404.29,447.194,251.005
1.923,426.963,459.724,249.865
1.973,450.262,472.196,248.768
2.023,474.182,484.615,247.939
2.063,493.985,494.621,247.238
2.104,514.131,504.577,246.947
2.153,539.447,516.811,247.051
2.203,565.596,529.16,247.244
2.253,592.363,541.514,247.213
